place_type,user_answer
bank,acompanado
bank,acompanado
bank,auto
bank,auto
bank,bajo
bank,caminando
bank,caminando
bank,caminando
bank,caminando
bank,medio
bank,medio
bank,medio
bank,no
bank,no
bank,no
bank,relajado
bank,relajado
bank,solo
bank,solo
bank,solo
bar,acompanado
bar,auto
bar,auto
bar,auto
bar,bajo
bar,bajo
bar,bajo
bar,bajo
bar,caminando
bar,caminando
bar,caminando
bar,caminando
bar,caminando
bar,caminando
bar,caminando
bar,medio
bar,relajado
bar,si
bar,si
bar,solo
bar,solo
bar,solo
beauty_salon,acompanado
beauty_salon,acompanado
beauty_salon,acompanado
beauty_salon,acompanado
beauty_salon,acompanado
beauty_salon,auto
beauty_salon,auto
beauty_salon,auto
beauty_salon,auto
beauty_salon,auto
beauty_salon,bajo
beauty_salon,bajo
beauty_salon,bajo
beauty_salon,caminando
beauty_salon,caminando
beauty_salon,medio
beauty_salon,no
beauty_salon,no
beauty_salon,relajado
beauty_salon,solo
bicycle_store,acompanado
bicycle_store,acompanado
bicycle_store,auto
bicycle_store,auto
bicycle_store,auto
bicycle_store,bajo
bicycle_store,bajo
bicycle_store,bajo
bicycle_store,bajo
bicycle_store,bajo
bicycle_store,bicicleta
bicycle_store,medio
bicycle_store,medio
bicycle_store,medio
bicycle_store,moderado
bicycle_store,moderado
bicycle_store,no
bicycle_store,no
bicycle_store,no
bicycle_store,no
bicycle_store,solo
bicycle_store,solo
bicycle_store,solo
bicycle_store,solo
book_store,acompanado
book_store,acompanado
book_store,acompanado
book_store,auto
book_store,auto
book_store,bajo
book_store,bajo
book_store,caminando
book_store,caminando
book_store,medio
book_store,medio
book_store,no
book_store,no
book_store,no
book_store,relajado
book_store,solo
bowling_alley,acompanado
bowling_alley,acompanado
bowling_alley,auto
bowling_alley,bajo
bowling_alley,bajo
bowling_alley,bajo
bowling_alley,caminando
bowling_alley,caminando
bowling_alley,medio
bowling_alley,no
bowling_alley,relajado
bowling_alley,relajado
bowling_alley,relajado
bowling_alley,relajado
bowling_alley,relajado
bowling_alley,relajado
bowling_alley,solo
bowling_alley,solo
bowling_alley,solo
bowling_alley,solo
bus_station,acompanado
bus_station,acompanado
bus_station,acompanado
bus_station,auto
bus_station,bajo
bus_station,bajo
bus_station,medio
bus_station,medio
bus_station,medio
bus_station,moderado
bus_station,no
bus_station,no
bus_station,solo
bus_station,solo
bus_station,transporte publico
cafe,acompanado
cafe,acompanado
cafe,auto
cafe,auto
cafe,auto
cafe,bajo
cafe,bajo
cafe,bajo
cafe,bajo
cafe,bajo
cafe,caminando
cafe,medio
cafe,medio
cafe,medio
cafe,relajado
cafe,relajado
cafe,si
cafe,si
cafe,solo
cafe,solo
cafe,solo
campground,acompanado
campground,auto
campground,auto
campground,auto
campground,auto
campground,auto
campground,bajo
campground,bajo
campground,bajo
campground,caminando
campground,caminando
campground,caminando
campground,caminando
campground,caminando
campground,medio
campground,medio
campground,medio
campground,medio
campground,medio
campground,moderado
campground,moderado
campground,no
campground,no
campground,no
campground,no
campground,no
campground,solo
car_dealer,acompanado
car_dealer,acompanado
car_dealer,acompanado
car_dealer,acompanado
car_dealer,auto
car_dealer,auto
car_dealer,auto
car_dealer,bajo
car_dealer,bajo
car_dealer,bajo
car_dealer,bajo
car_dealer,bajo
car_dealer,caminando
car_dealer,caminando
car_dealer,medio
car_dealer,medio
car_dealer,no
car_dealer,no
car_dealer,no
car_dealer,relajado
car_dealer,relajado
car_dealer,solo
car_rental,acompanado
car_rental,acompanado
car_rental,auto
car_rental,auto
car_rental,auto
car_rental,bajo
car_rental,bajo
car_rental,caminando
car_rental,caminando
car_rental,caminando
car_rental,medio
car_rental,medio
car_rental,no
car_rental,no
car_rental,relajado
car_rental,relajado
car_rental,solo
car_rental,solo
car_repair,acompanado
car_repair,acompanado
car_repair,acompanado
car_repair,acompanado
car_repair,acompanado
car_repair,auto
car_repair,auto
car_repair,auto
car_repair,auto
car_repair,bajo
car_repair,bajo
car_repair,bajo
car_repair,bajo
car_repair,caminando
car_repair,caminando
car_repair,medio
car_repair,medio
car_repair,medio
car_repair,medio
car_repair,no
car_repair,relajado
car_repair,solo
car_repair,solo
car_repair,solo
car_wash,acompanado
car_wash,auto
car_wash,auto
car_wash,auto
car_wash,bajo
car_wash,caminando
car_wash,medio
car_wash,medio
car_wash,medio
car_wash,no
car_wash,no
car_wash,no
car_wash,relajado
car_wash,relajado
car_wash,solo
car_wash,solo
car_wash,solo
car_wash,solo
casino,acompanado
casino,acompanado
casino,alto
casino,auto
casino,auto
casino,auto
casino,bajo
casino,bajo
casino,caminando
casino,caminando
casino,caminando
casino,caminando
casino,relajado
casino,relajado
casino,relajado
casino,si
casino,solo
casino,solo
casino,solo
cemetery,acompanado
cemetery,acompanado
cemetery,acompanado
cemetery,acompanado
cemetery,acompanado
cemetery,acompanado
cemetery,auto
cemetery,auto
cemetery,auto
cemetery,bajo
cemetery,caminando
cemetery,caminando
cemetery,medio
cemetery,no
cemetery,relajado
cemetery,relajado
cemetery,relajado
cemetery,relajado
cemetery,solo
cemetery,solo
cemetery,solo
church,acompanado
church,acompanado
church,auto
church,auto
church,bajo
church,bajo
church,bajo
church,caminando
church,medio
church,medio
church,medio
church,medio
church,no
church,no
church,relajado
church,relajado
church,solo
church,solo
church,solo
city_hall,acompanado
city_hall,acompanado
city_hall,acompanado
city_hall,auto
city_hall,bajo
city_hall,bajo
city_hall,bajo
city_hall,bajo
city_hall,caminando
city_hall,caminando
city_hall,medio
city_hall,medio
city_hall,medio
city_hall,medio
city_hall,no
city_hall,relajado
city_hall,relajado
city_hall,solo
clothing_store,acompanado
clothing_store,acompanado
clothing_store,acompanado
clothing_store,auto
clothing_store,auto
clothing_store,bajo
clothing_store,bajo
clothing_store,bajo
clothing_store,bajo
clothing_store,caminando
clothing_store,medio
clothing_store,medio
clothing_store,no
clothing_store,no
clothing_store,relajado
clothing_store,solo
clothing_store,solo
clothing_store,solo
clothing_store,solo
clothing_store,solo
convenience_store,acompanado
convenience_store,acompanado
convenience_store,acompanado
convenience_store,auto
convenience_store,auto
convenience_store,bajo
convenience_store,caminando
convenience_store,caminando
convenience_store,caminando
convenience_store,caminando
convenience_store,medio
convenience_store,medio
convenience_store,medio
convenience_store,medio
convenience_store,medio
convenience_store,relajado
convenience_store,si
convenience_store,si
convenience_store,solo
courthouse,acompanado
courthouse,acompanado
courthouse,acompanado
courthouse,auto
courthouse,auto
courthouse,bajo
courthouse,bajo
courthouse,bajo
courthouse,caminando
courthouse,caminando
courthouse,caminando
courthouse,medio
courthouse,medio
courthouse,medio
courthouse,no
courthouse,no
courthouse,no
courthouse,relajado
courthouse,relajado
courthouse,relajado
courthouse,solo
dentist,acompanado
dentist,acompanado
dentist,auto
dentist,bajo
dentist,bajo
dentist,bajo
dentist,caminando
dentist,caminando
dentist,caminando
dentist,medio
dentist,medio
dentist,no
dentist,no
dentist,relajado
dentist,relajado
dentist,relajado
dentist,solo
dentist,solo
dentist,solo
dentist,solo
dentist,solo
department_store,acompanado
department_store,acompanado
department_store,acompanado
department_store,auto
department_store,auto
department_store,auto
department_store,bajo
department_store,bajo
department_store,bajo
department_store,caminando
department_store,medio
department_store,medio
department_store,no
department_store,no
department_store,relajado
department_store,relajado
department_store,solo
department_store,solo
department_store,solo
doctor,acompanado
doctor,acompanado
doctor,acompanado
doctor,auto
doctor,bajo
doctor,caminando
doctor,medio
doctor,medio
doctor,medio
doctor,medio
doctor,no
doctor,no
doctor,relajado
doctor,solo
doctor,solo
doctor,solo
drugstore,acompanado
drugstore,acompanado
drugstore,auto
drugstore,auto
drugstore,auto
drugstore,bajo
drugstore,bajo
drugstore,caminando
drugstore,caminando
drugstore,caminando
drugstore,caminando
drugstore,medio
drugstore,medio
drugstore,medio
drugstore,medio
drugstore,no
drugstore,no
drugstore,no
drugstore,no
drugstore,relajado
drugstore,relajado
drugstore,relajado
drugstore,relajado
drugstore,solo
drugstore,solo
drugstore,solo
electrician,acompanado
electrician,acompanado
electrician,auto
electrician,auto
electrician,bajo
electrician,bajo
electrician,bajo
electrician,bajo
electrician,bajo
electrician,caminando
electrician,caminando
electrician,medio
electrician,medio
electrician,medio
electrician,medio
electrician,no
electrician,no
electrician,no
electrician,no
electrician,no
electrician,relajado
electrician,relajado
electrician,relajado
electrician,relajado
electrician,relajado
electrician,relajado
electrician,solo
electrician,solo
electronics_store,acompanado
electronics_store,acompanado
electronics_store,auto
electronics_store,auto
electronics_store,auto
electronics_store,auto
electronics_store,bajo
electronics_store,bajo
electronics_store,bajo
electronics_store,bajo
electronics_store,caminando
electronics_store,caminando
electronics_store,caminando
electronics_store,caminando
electronics_store,caminando
electronics_store,caminando
electronics_store,medio
electronics_store,medio
electronics_store,no
electronics_store,relajado
electronics_store,relajado
electronics_store,solo
electronics_store,solo
embassy,acompanado
embassy,acompanado
embassy,acompanado
embassy,acompanado
embassy,auto
embassy,auto
embassy,auto
embassy,auto
embassy,auto
embassy,bajo
embassy,bajo
embassy,caminando
embassy,caminando
embassy,caminando
embassy,caminando
embassy,medio
embassy,no
embassy,no
embassy,no
embassy,no
embassy,relajado
embassy,relajado
embassy,relajado
embassy,relajado
embassy,relajado
embassy,solo
embassy,solo
embassy,solo
fire_station,acompanado
fire_station,acompanado
fire_station,auto
fire_station,bajo
fire_station,bajo
fire_station,bajo
fire_station,caminando
fire_station,caminando
fire_station,caminando
fire_station,caminando
fire_station,medio
fire_station,medio
fire_station,medio
fire_station,medio
fire_station,no
fire_station,no
fire_station,no
fire_station,no
fire_station,relajado
fire_station,relajado
fire_station,solo
fire_station,solo
fire_station,solo
fire_station,solo
florist,acompanado
florist,acompanado
florist,acompanado
florist,auto
florist,auto
florist,auto
florist,bajo
florist,bajo
florist,bajo
florist,caminando
florist,caminando
florist,caminando
florist,medio
florist,medio
florist,no
florist,no
florist,relajado
florist,relajado
florist,relajado
florist,solo
funeral_home,acompanado
funeral_home,acompanado
funeral_home,acompanado
funeral_home,acompanado
funeral_home,auto
funeral_home,auto
funeral_home,bajo
funeral_home,bajo
funeral_home,caminando
funeral_home,caminando
funeral_home,medio
funeral_home,medio
funeral_home,no
funeral_home,no
funeral_home,relajado
funeral_home,solo
funeral_home,solo
funeral_home,solo
furniture_store,acompanado
furniture_store,acompanado
furniture_store,auto
furniture_store,auto
furniture_store,bajo
furniture_store,caminando
furniture_store,caminando
furniture_store,medio
furniture_store,medio
furniture_store,medio
furniture_store,no
furniture_store,no
furniture_store,relajado
furniture_store,relajado
furniture_store,relajado
furniture_store,relajado
furniture_store,solo
furniture_store,solo
furniture_store,solo
furniture_store,solo
gas_station,acompanado
gas_station,auto
gas_station,auto
gas_station,bajo
gas_station,bajo
gas_station,caminando
gas_station,caminando
gas_station,caminando
gas_station,medio
gas_station,medio
gas_station,no
gas_station,relajado
gas_station,relajado
gas_station,relajado
gas_station,relajado
gas_station,solo
gas_station,solo
gym,acompanado
gym,acompanado
gym,auto
gym,auto
gym,bajo
gym,bajo
gym,caminando
gym,caminando
gym,medio
gym,medio
gym,moderado
gym,moderado
gym,no
gym,no
gym,no
gym,no
gym,no
gym,solo
gym,solo
hair_care,acompanado
hair_care,acompanado
hair_care,auto
hair_care,auto
hair_care,auto
hair_care,bajo
hair_care,bajo
hair_care,bajo
hair_care,caminando
hair_care,caminando
hair_care,caminando
hair_care,medio
hair_care,medio
hair_care,medio
hair_care,medio
hair_care,medio
hair_care,no
hair_care,no
hair_care,relajado
hair_care,relajado
hair_care,solo
hardware_store,acompanado
hardware_store,acompanado
hardware_store,auto
hardware_store,auto
hardware_store,auto
hardware_store,auto
hardware_store,auto
hardware_store,auto
hardware_store,bajo
hardware_store,caminando
hardware_store,caminando
hardware_store,caminando
hardware_store,caminando
hardware_store,medio
hardware_store,medio
hardware_store,medio
hardware_store,medio
hardware_store,no
hardware_store,no
hardware_store,no
hardware_store,no
hardware_store,no
hardware_store,relajado
hardware_store,relajado
hardware_store,solo
hardware_store,solo
hardware_store,solo
hindu_temple,acompanado
hindu_temple,auto
hindu_temple,auto
hindu_temple,auto
hindu_temple,bajo
hindu_temple,bajo
hindu_temple,bajo
hindu_temple,caminando
hindu_temple,caminando
hindu_temple,caminando
hindu_temple,caminando
hindu_temple,caminando
hindu_temple,medio
hindu_temple,medio
hindu_temple,medio
hindu_temple,no
hindu_temple,relajado
hindu_temple,solo
hindu_temple,solo
hindu_temple,solo
hindu_temple,solo
hindu_temple,solo
home_goods_store,acompanado
home_goods_store,auto
home_goods_store,auto
home_goods_store,bajo
home_goods_store,bajo
home_goods_store,bajo
home_goods_store,bajo
home_goods_store,bajo
home_goods_store,caminando
home_goods_store,caminando
home_goods_store,caminando
home_goods_store,caminando
home_goods_store,caminando
home_goods_store,caminando
home_goods_store,medio
home_goods_store,medio
home_goods_store,medio
home_goods_store,medio
home_goods_store,no
home_goods_store,no
home_goods_store,relajado
home_goods_store,relajado
home_goods_store,relajado
home_goods_store,solo
home_goods_store,solo
home_goods_store,solo
hospital,acompanado
hospital,acompanado
hospital,auto
hospital,auto
hospital,auto
hospital,auto
hospital,auto
hospital,bajo
hospital,caminando
hospital,caminando
hospital,caminando
hospital,medio
hospital,medio
hospital,no
hospital,no
hospital,no
hospital,no
hospital,no
hospital,relajado
hospital,relajado
hospital,relajado
hospital,relajado
hospital,relajado
hospital,solo
hospital,solo
hospital,solo
hospital,solo
hospital,solo
insurance_agency,acompanado
insurance_agency,acompanado
insurance_agency,acompanado
insurance_agency,acompanado
insurance_agency,auto
insurance_agency,bajo
insurance_agency,bajo
insurance_agency,caminando
insurance_agency,caminando
insurance_agency,caminando
insurance_agency,medio
insurance_agency,medio
insurance_agency,medio
insurance_agency,medio
insurance_agency,medio
insurance_agency,no
insurance_agency,no
insurance_agency,no
insurance_agency,relajado
insurance_agency,relajado
insurance_agency,relajado
insurance_agency,solo
jewelry_store,acompanado
jewelry_store,alto
jewelry_store,auto
jewelry_store,auto
jewelry_store,bajo
jewelry_store,bajo
jewelry_store,bajo
jewelry_store,caminando
jewelry_store,caminando
jewelry_store,caminando
jewelry_store,no
jewelry_store,no
jewelry_store,relajado
jewelry_store,relajado
jewelry_store,relajado
jewelry_store,solo
jewelry_store,solo
laundry,acompanado
laundry,acompanado
laundry,auto
laundry,auto
laundry,auto
laundry,auto
laundry,auto
laundry,bajo
laundry,bajo
laundry,caminando
laundry,medio
laundry,medio
laundry,no
laundry,no
laundry,relajado
laundry,relajado
laundry,relajado
laundry,relajado
laundry,relajado
laundry,solo
laundry,solo
lawyer,acompanado
lawyer,acompanado
lawyer,acompanado
lawyer,auto
lawyer,auto
lawyer,bajo
lawyer,bajo
lawyer,bajo
lawyer,bajo
lawyer,bajo
lawyer,bajo
lawyer,bajo
lawyer,caminando
lawyer,medio
lawyer,medio
lawyer,no
lawyer,no
lawyer,no
lawyer,no
lawyer,no
lawyer,relajado
lawyer,relajado
lawyer,relajado
lawyer,relajado
lawyer,relajado
lawyer,relajado
lawyer,solo
lawyer,solo
lawyer,solo
lawyer,solo
library,acompanado
library,acompanado
library,acompanado
library,acompanado
library,acompanado
library,auto
library,bajo
library,bajo
library,bajo
library,bajo
library,caminando
library,caminando
library,medio
library,no
library,no
library,no
library,no
library,relajado
library,relajado
library,solo
library,solo
light_rail_station,acompanado
light_rail_station,acompanado
light_rail_station,acompanado
light_rail_station,acompanado
light_rail_station,auto
light_rail_station,auto
light_rail_station,auto
light_rail_station,bajo
light_rail_station,bajo
light_rail_station,bajo
light_rail_station,bajo
light_rail_station,medio
light_rail_station,medio
light_rail_station,moderado
light_rail_station,moderado
light_rail_station,no
light_rail_station,no
light_rail_station,no
light_rail_station,no
light_rail_station,solo
light_rail_station,transporte publico
light_rail_station,transporte publico
liquor_store,acompanado
liquor_store,auto
liquor_store,auto
liquor_store,auto
liquor_store,bajo
liquor_store,bajo
liquor_store,caminando
liquor_store,medio
liquor_store,medio
liquor_store,relajado
liquor_store,relajado
liquor_store,si
liquor_store,si
liquor_store,solo
liquor_store,solo
liquor_store,solo
liquor_store,solo
local_government_office,acompanado
local_government_office,acompanado
local_government_office,auto
local_government_office,auto
local_government_office,auto
local_government_office,bajo
local_government_office,bajo
local_government_office,bajo
local_government_office,bajo
local_government_office,caminando
local_government_office,caminando
local_government_office,caminando
local_government_office,caminando
local_government_office,caminando
local_government_office,caminando
local_government_office,medio
local_government_office,medio
local_government_office,medio
local_government_office,medio
local_government_office,medio
local_government_office,no
local_government_office,no
local_government_office,no
local_government_office,relajado
local_government_office,solo
local_government_office,solo
local_government_office,solo
locksmith,acompanado
locksmith,acompanado
locksmith,auto
locksmith,auto
locksmith,auto
locksmith,bajo
locksmith,bajo
locksmith,caminando
locksmith,medio
locksmith,medio
locksmith,medio
locksmith,no
locksmith,no
locksmith,relajado
locksmith,relajado
locksmith,solo
locksmith,solo
locksmith,solo
lodging,acompanado
lodging,acompanado
lodging,alto
lodging,alto
lodging,auto
lodging,auto
lodging,auto
lodging,auto
lodging,bajo
lodging,bajo
lodging,caminando
lodging,no
lodging,no
lodging,no
lodging,no
lodging,relajado
lodging,relajado
lodging,relajado
lodging,relajado
lodging,solo
meal_delivery,acompanado
meal_delivery,acompanado
meal_delivery,acompanado
meal_delivery,acompanado
meal_delivery,auto
meal_delivery,auto
meal_delivery,bajo
meal_delivery,bajo
meal_delivery,bajo
meal_delivery,caminando
meal_delivery,caminando
meal_delivery,caminando
meal_delivery,caminando
meal_delivery,caminando
meal_delivery,medio
meal_delivery,relajado
meal_delivery,relajado
meal_delivery,si
meal_delivery,solo
meal_takeaway,acompanado
meal_takeaway,acompanado
meal_takeaway,auto
meal_takeaway,auto
meal_takeaway,bajo
meal_takeaway,bajo
meal_takeaway,caminando
meal_takeaway,caminando
meal_takeaway,caminando
meal_takeaway,medio
meal_takeaway,medio
meal_takeaway,relajado
meal_takeaway,relajado
meal_takeaway,relajado
meal_takeaway,relajado
meal_takeaway,relajado
meal_takeaway,si
meal_takeaway,si
meal_takeaway,solo
meal_takeaway,solo
meal_takeaway,solo
meal_takeaway,solo
mosque,acompanado
mosque,acompanado
mosque,auto
mosque,bajo
mosque,bajo
mosque,bajo
mosque,bajo
mosque,bajo
mosque,caminando
mosque,caminando
mosque,caminando
mosque,medio
mosque,medio
mosque,no
mosque,no
mosque,no
mosque,no
mosque,relajado
mosque,solo
mosque,solo
movie_rental,acompanado
movie_rental,acompanado
movie_rental,acompanado
movie_rental,auto
movie_rental,bajo
movie_rental,caminando
movie_rental,caminando
movie_rental,caminando
movie_rental,medio
movie_rental,no
movie_rental,no
movie_rental,no
movie_rental,relajado
movie_rental,relajado
movie_rental,solo
movie_theater,acompanado
movie_theater,auto
movie_theater,auto
movie_theater,bajo
movie_theater,bajo
movie_theater,caminando
movie_theater,caminando
movie_theater,caminando
movie_theater,caminando
movie_theater,medio
movie_theater,medio
movie_theater,medio
movie_theater,no
movie_theater,no
movie_theater,no
movie_theater,no
movie_theater,no
movie_theater,no
movie_theater,relajado
movie_theater,relajado
movie_theater,solo
movie_theater,solo
moving_company,acompanado
moving_company,acompanado
moving_company,acompanado
moving_company,acompanado
moving_company,auto
moving_company,auto
moving_company,auto
moving_company,auto
moving_company,auto
moving_company,bajo
moving_company,bajo
moving_company,caminando
moving_company,caminando
moving_company,medio
moving_company,medio
moving_company,medio
moving_company,moderado
moving_company,no
moving_company,no
moving_company,solo
moving_company,solo
moving_company,solo
museum,acompanado
museum,acompanado
museum,auto
museum,auto
museum,auto
museum,auto
museum,auto
museum,bajo
museum,bajo
museum,caminando
museum,caminando
museum,caminando
museum,caminando
museum,medio
museum,medio
museum,no
museum,no
museum,relajado
museum,solo
night_club,acompanado
night_club,acompanado
night_club,auto
night_club,auto
night_club,auto
night_club,auto
night_club,auto
night_club,bajo
night_club,bajo
night_club,bajo
night_club,caminando
night_club,caminando
night_club,medio
night_club,medio
night_club,medio
night_club,relajado
night_club,relajado
night_club,relajado
night_club,relajado
night_club,si
night_club,si
night_club,si
night_club,solo
night_club,solo
painter,acompanado
painter,acompanado
painter,auto
painter,bajo
painter,bajo
painter,bajo
painter,bajo
painter,bajo
painter,caminando
painter,caminando
painter,medio
painter,medio
painter,moderado
painter,moderado
painter,moderado
painter,no
painter,no
painter,no
painter,no
painter,solo
painter,solo
park,acompanado
park,acompanado
park,acompanado
park,auto
park,auto
park,bajo
park,bajo
park,bajo
park,caminando
park,caminando
park,medio
park,medio
park,no
park,relajado
park,solo
park,solo
parking,acompanado
parking,acompanado
parking,acompanado
parking,auto
parking,auto
parking,bajo
parking,bajo
parking,bajo
parking,caminando
parking,caminando
parking,caminando
parking,medio
parking,medio
parking,no
parking,no
parking,no
parking,relajado
parking,relajado
parking,relajado
parking,relajado
parking,solo
pet_store,acompanado
pet_store,acompanado
pet_store,acompanado
pet_store,auto
pet_store,auto
pet_store,bajo
pet_store,bajo
pet_store,bajo
pet_store,caminando
pet_store,caminando
pet_store,caminando
pet_store,medio
pet_store,no
pet_store,relajado
pet_store,relajado
pet_store,solo
pharmacy,acompanado
pharmacy,acompanado
pharmacy,acompanado
pharmacy,auto
pharmacy,auto
pharmacy,auto
pharmacy,bajo
pharmacy,bajo
pharmacy,bajo
pharmacy,bajo
pharmacy,caminando
pharmacy,medio
pharmacy,no
pharmacy,no
pharmacy,relajado
pharmacy,relajado
pharmacy,relajado
pharmacy,solo
pharmacy,solo
physiotherapist,acompanado
physiotherapist,acompanado
physiotherapist,auto
physiotherapist,bajo
physiotherapist,bajo
physiotherapist,caminando
physiotherapist,medio
physiotherapist,moderado
physiotherapist,moderado
physiotherapist,no
physiotherapist,no
physiotherapist,solo
physiotherapist,solo
physiotherapist,solo
plumber,acompanado
plumber,acompanado
plumber,auto
plumber,auto
plumber,auto
plumber,bajo
plumber,bajo
plumber,caminando
plumber,caminando
plumber,medio
plumber,moderado
plumber,moderado
plumber,moderado
plumber,moderado
plumber,no
plumber,no
plumber,solo
plumber,solo
plumber,solo
police,acompanado
police,acompanado
police,acompanado
police,acompanado
police,auto
police,auto
police,bajo
police,caminando
police,medio
police,medio
police,medio
police,medio
police,no
police,no
police,no
police,no
police,no
police,relajado
police,solo
post_office,acompanado
post_office,acompanado
post_office,auto
post_office,auto
post_office,bajo
post_office,bajo
post_office,bajo
post_office,caminando
post_office,caminando
post_office,medio
post_office,medio
post_office,medio
post_office,no
post_office,no
post_office,no
post_office,no
post_office,no
post_office,relajado
post_office,relajado
post_office,relajado
post_office,solo
post_office,solo
post_office,solo
primary_school,acompanado
primary_school,acompanado
primary_school,auto
primary_school,auto
primary_school,auto
primary_school,bajo
primary_school,bajo
primary_school,bajo
primary_school,caminando
primary_school,caminando
primary_school,caminando
primary_school,caminando
primary_school,medio
primary_school,moderado
primary_school,moderado
primary_school,moderado
primary_school,moderado
primary_school,moderado
primary_school,no
primary_school,solo
primary_school,solo
primary_school,solo
primary_school,solo
real_estate_agency,acompanado
real_estate_agency,acompanado
real_estate_agency,acompanado
real_estate_agency,auto
real_estate_agency,auto
real_estate_agency,auto
real_estate_agency,auto
real_estate_agency,bajo
real_estate_agency,bajo
real_estate_agency,caminando
real_estate_agency,caminando
real_estate_agency,caminando
real_estate_agency,caminando
real_estate_agency,medio
real_estate_agency,medio
real_estate_agency,no
real_estate_agency,no
real_estate_agency,relajado
real_estate_agency,relajado
real_estate_agency,relajado
real_estate_agency,solo
restaurant,acompanado
restaurant,auto
restaurant,auto
restaurant,bajo
restaurant,bajo
restaurant,caminando
restaurant,medio
restaurant,medio
restaurant,medio
restaurant,relajado
restaurant,si
restaurant,si
restaurant,si
restaurant,solo
restaurant,solo
roofing_contractor,acompanado
roofing_contractor,acompanado
roofing_contractor,acompanado
roofing_contractor,auto
roofing_contractor,bajo
roofing_contractor,bajo
roofing_contractor,bajo
roofing_contractor,bajo
roofing_contractor,caminando
roofing_contractor,caminando
roofing_contractor,medio
roofing_contractor,medio
roofing_contractor,medio
roofing_contractor,medio
roofing_contractor,moderado
roofing_contractor,no
roofing_contractor,no
roofing_contractor,no
roofing_contractor,solo
roofing_contractor,solo
rv_park,acompanado
rv_park,acompanado
rv_park,acompanado
rv_park,acompanado
rv_park,acompanado
rv_park,acompanado
rv_park,auto
rv_park,auto
rv_park,auto
rv_park,bajo
rv_park,bajo
rv_park,caminando
rv_park,medio
rv_park,medio
rv_park,medio
rv_park,no
rv_park,relajado
rv_park,relajado
rv_park,solo
school,acompanado
school,acompanado
school,auto
school,auto
school,auto
school,auto
school,bajo
school,bajo
school,bajo
school,caminando
school,caminando
school,medio
school,medio
school,moderado
school,no
school,no
school,no
school,no
school,no
school,solo
school,solo
secondary_school,acompanado
secondary_school,acompanado
secondary_school,acompanado
secondary_school,acompanado
secondary_school,acompanado
secondary_school,auto
secondary_school,auto
secondary_school,auto
secondary_school,bajo
secondary_school,bajo
secondary_school,bajo
secondary_school,bajo
secondary_school,bajo
secondary_school,caminando
secondary_school,medio
secondary_school,moderado
secondary_school,moderado
secondary_school,moderado
secondary_school,no
secondary_school,no
secondary_school,no
secondary_school,solo
shoe_store,acompanado
shoe_store,acompanado
shoe_store,auto
shoe_store,auto
shoe_store,auto
shoe_store,auto
shoe_store,bajo
shoe_store,caminando
shoe_store,medio
shoe_store,medio
shoe_store,no
shoe_store,no
shoe_store,no
shoe_store,relajado
shoe_store,relajado
shoe_store,relajado
shoe_store,relajado
shoe_store,solo
shoe_store,solo
shoe_store,solo
shoe_store,solo
shopping_mall,acompanado
shopping_mall,acompanado
shopping_mall,auto
shopping_mall,bajo
shopping_mall,bajo
shopping_mall,bajo
shopping_mall,caminando
